review_id,text
R609,The app is simple and paying the bill is easy. Fast 5G in Brackenridge.
R610,eSIM activation failed three times. Calls drop constantly in Marrowby.
R611,They overcharged me $39.25 and refused a refund. My bill doubled and nobody could explain why. The app crashes every time I open it.
R612,The app is simple and paying the bill is easy.
R613,"No signal at home in Port Ember, ever."
R614,Coverage map is a lie in Port Ember. eSIM activation failed three times.
R615,The Unlimited Plus plan saves our family a fortune. Never had a dropped call in 3 years.
R616,The app logs me out and won't let me pay my bill. Waited 70 minutes on hold for support.
R617,"Support sorted my problem in minutes, really friendly. Excellent customer service. Honest pricing, no surprise charges."
R618,"Friendly staff in the Eastholm Quay shop. Honest pricing, no surprise charges."
R619,Never had a dropped call in 8 years. Switching with the eSIM took two minutes.
R620,"Cheapest plan I have found, Unlimited Plus is excellent value. Fast 5G in Port Ember."
R621,"Friendly staff in the Cragwell shop. Excellent customer service. Cheapest plan I have found, Flex 10 is excellent value. The 5G is fast when you can get it."
R622,Mobile data is painfully slow. Calls drop constantly in Eastholm Quay. The app logs me out and won't let me pay my bill.
R623,The app is simple and paying the bill is easy. Excellent customer service.
R624,"Excellent customer service. Cheapest plan I have found, Flex 30 is excellent value. Switching with the eSIM took two minutes."
R625,The Prepay Go plan saves our family a fortune.
R626,Calls drop constantly in Saltmoor. Coverage map is a lie in Cragwell. Waited 60 minutes on hold for support.
R627,Fast 5G in Brackenridge.
R628,Friendly staff in the Cragwell shop. Excellent customer service.
R629,Friendly staff in the Wrenfield shop. Great coverage everywhere in Gullhaven.
R630,Switching with the eSIM took two minutes. Reliable signal even on the train.
R631,"The app logs me out and won't let me pay my bill. No signal at home in Marrowby, ever. Decent value, though the bill was confusing."
R632,Fast 5G in Port Ember. Friendly staff in the Gullhaven shop.
R633,Waited 70 minutes on hold for support. Charged roaming fees I never used.
R634,Great coverage everywhere in Cragwell.
R635,Switching with the eSIM took two minutes.
R636,Calls drop constantly in Lowmere. The app logs me out and won't let me pay my bill.
R637,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly. Reliable signal even on the train."
R638,Coverage map is a lie in Gullhaven. The app logs me out and won't let me pay my bill.
R639,"Fast 5G in Saltmoor. Cheapest plan I have found, Flex 10 is excellent value. Switching with the eSIM took two minutes. Works most of the time."
R640,Reliable signal even on the train.
R641,"The app is simple and paying the bill is easy. Honest pricing, no surprise charges. Excellent customer service."
R642,The app logs me out and won't let me pay my bill. Support is friendly but the hold times are long.
R643,My bill doubled and nobody could explain why.
R644,Support is friendly but the hold times are long. Works most of the time.
R645,Coverage map is a lie in Eastholm Quay. Mobile data is painfully slow.
R646,Waited 60 minutes on hold for support. Charged roaming fees I never used.
R647,Waited 40 minutes on hold for support.
R648,Friendly staff in the Wrenfield shop. Excellent customer service.
R649,Great coverage everywhere in Lowmere.
R650,eSIM activation failed three times.
R651,The app is simple and paying the bill is easy.
R652,The Family Share plan saves our family a fortune. Reliable signal even on the train. Friendly staff in the Gullhaven shop.
R653,"Friendly staff in the Brackenridge shop. Honest pricing, no surprise charges."
R654,Great coverage everywhere in Gullhaven.
R655,Coverage is good but the app crashes sometimes. The 5G is fast when you can get it.
R656,"Honest pricing, no surprise charges. Cheapest plan I have found, Flex 10 is excellent value."
R657,"Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly."
R658,"Honest pricing, no surprise charges. Support sorted my problem in minutes, really friendly."
R659,"Excellent customer service. Cheapest plan I have found, Unlimited Plus is excellent value. The app is simple and paying the bill is easy."
R660,"Support sorted my problem in minutes, really friendly. Support is friendly but the hold times are long."
R661,Friendly staff in the Lowmere shop.
R662,"Fast 5G in Tern Harbour. Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly. The 5G is fast when you can get it."
R663,Fast 5G in Cragwell. Great coverage everywhere in Port Ember.
R664,Fast 5G in Saltmoor. The app is simple and paying the bill is easy. Never had a dropped call in 7 years.
R665,Fast 5G in Eastholm Quay. Great coverage everywhere in Tern Harbour.
R666,Great coverage everywhere in Gullhaven.
R667,Support is friendly but the hold times are long.
R668,Mobile data is painfully slow. Coverage map is a lie in Eastholm Quay.
R669,eSIM activation failed three times.
R670,Charged roaming fees I never used. They overcharged me $22.00 and refused a refund. eSIM activation failed three times.
R671,The Flex 10 plan saves our family a fortune. Never had a dropped call in 7 years. Excellent customer service. Works most of the time.
R672,"Honest pricing, no surprise charges. Switching with the eSIM took two minutes. Never had a dropped call in 8 years."
R673,Reliable signal even on the train. The app is simple and paying the bill is easy. Fast 5G in Port Ember.
R674,"Decent value, though the bill was confusing. Support is friendly but the hold times are long."
R675,"Coverage is good but the app crashes sometimes. Fine in town, no signal in the countryside."
R676,Friendly staff in the Marrowby shop.
R677,"Coverage is good but the app crashes sometimes. Cheap, but data is slow in Brackenridge."
R678,"My bill doubled and nobody could explain why. Dropped calls, dropped calls, dropped calls. The app crashes every time I open it."
R679,"Cheapest plan I have found, Family Share is excellent value. Reliable signal even on the train."
R680,Great coverage everywhere in Saltmoor. Friendly staff in the Saltmoor shop.
R681,Coverage map is a lie in Brackenridge. eSIM activation failed three times.
R682,"Switching with the eSIM took two minutes. Honest pricing, no surprise charges."
R683,"Cheap, but data is slow in Brackenridge."
R684,"Works most of the time. Decent value, though the bill was confusing."
R685,"Charged roaming fees I never used. No signal at home in Eastholm Quay, ever. Support is friendly but the hold times are long."
R686,Great coverage everywhere in Marrowby. Fast 5G in Brackenridge. Reliable signal even on the train.
R687,Great coverage everywhere in Saltmoor.
R688,"No signal at home in Cragwell, ever. eSIM activation failed three times. The app crashes every time I open it."
R689,"Support sorted my problem in minutes, really friendly."
R690,Never had a dropped call in 3 years. Great coverage everywhere in Brackenridge.
R691,"Never had a dropped call in 9 years. Support sorted my problem in minutes, really friendly."
R692,"Dropped calls, dropped calls, dropped calls. The app crashes every time I open it."
R693,"Fine in town, no signal in the countryside."
R694,"Switching with the eSIM took two minutes. Honest pricing, no surprise charges."
R695,"Excellent customer service. Support sorted my problem in minutes, really friendly. Cheapest plan I have found, Prepay Go is excellent value."
R696,Charged roaming fees I never used. The app logs me out and won't let me pay my bill. Support is friendly but the hold times are long.
R697,Calls drop constantly in Tern Harbour. Coverage map is a lie in Marrowby.
R698,Reliable signal even on the train. Switching with the eSIM took two minutes.
R699,"Cheapest plan I have found, Prepay Go is excellent value."
R700,"Honest pricing, no surprise charges. Fast 5G in Saltmoor. Friendly staff in the Brackenridge shop."
R701,Friendly staff in the Cragwell shop.
R702,The app is simple and paying the bill is easy.
R703,"Support sorted my problem in minutes, really friendly."
R704,"Works most of the time. Good plan, average app."
R705,"Honest pricing, no surprise charges. Friendly staff in the Wrenfield shop."
R706,"Never had a dropped call in 2 years. Support sorted my problem in minutes, really friendly."
R707,Reliable signal even on the train. Fast 5G in Eastholm Quay.
R708,eSIM activation failed three times. My bill doubled and nobody could explain why. Coverage map is a lie in Gullhaven.
R709,Charged roaming fees I never used. eSIM activation failed three times.
R710,Charged roaming fees I never used. Waited 90 minutes on hold for support.
R711,Reliable signal even on the train. Switching with the eSIM took two minutes.
R712,"The Prepay Go plan saves our family a fortune. Fast 5G in Port Ember. Cheapest plan I have found, Flex 30 is excellent value."
R713,Charged roaming fees I never used. The app crashes every time I open it.
R714,Calls drop constantly in Marrowby.
R715,"Never had a dropped call in 4 years. Switching with the eSIM took two minutes. Fast 5G in Wrenfield. Decent value, though the bill was confusing."
R716,"eSIM activation failed three times. Dropped calls, dropped calls, dropped calls. The 5G is fast when you can get it."
R717,Support is friendly but the hold times are long. Coverage is good but the app crashes sometimes.
R718,"The app is simple and paying the bill is easy. Fast 5G in Wrenfield. Cheapest plan I have found, Flex 30 is excellent value."
R719,Coverage map is a lie in Lowmere. Calls drop constantly in Cragwell.
R720,"Great coverage everywhere in Gullhaven. The Prepay Go plan saves our family a fortune. Cheapest plan I have found, Prepay Go is excellent value."
R721,Great coverage everywhere in Brackenridge.
R722,The Family Share plan saves our family a fortune. Great coverage everywhere in Tern Harbour.
R723,The 5G is fast when you can get it.
R724,"Great coverage everywhere in Saltmoor. Excellent customer service. Support sorted my problem in minutes, really friendly. Works most of the time."
R725,"Coverage map is a lie in Eastholm Quay. Dropped calls, dropped calls, dropped calls."
R726,The Flex 30 plan saves our family a fortune. The app is simple and paying the bill is easy.
R727,Charged roaming fees I never used. Coverage is good but the app crashes sometimes.
R728,eSIM activation failed three times. Charged roaming fees I never used.
R729,Fast 5G in Marrowby.
R730,Reliable signal even on the train.
R731,"Honest pricing, no surprise charges. Fast 5G in Brackenridge."
R732,The Unlimited Plus plan saves our family a fortune.
R733,"No signal at home in Gullhaven, ever. Dropped calls, dropped calls, dropped calls. The app logs me out and won't let me pay my bill."
R734,"Good plan, average app. Support is friendly but the hold times are long."
R735,"Friendly staff in the Port Ember shop. Fast 5G in Saltmoor. Support sorted my problem in minutes, really friendly."
R736,Charged roaming fees I never used. They overcharged me $13.25 and refused a refund.
R737,"Honest pricing, no surprise charges."
R738,Works most of the time.
R739,Switching with the eSIM took two minutes. Never had a dropped call in 5 years.
R740,They overcharged me $82.99 and refused a refund.
R741,The app logs me out and won't let me pay my bill. eSIM activation failed three times.
R742,"No signal at home in Saltmoor, ever. Coverage map is a lie in Cragwell. They overcharged me $120.99 and refused a refund. The 5G is fast when you can get it."
R743,Reliable signal even on the train. Excellent customer service.
R744,"Support sorted my problem in minutes, really friendly."
R745,Mobile data is painfully slow. They overcharged me $76.00 and refused a refund.
R746,"Cheapest plan I have found, Unlimited Plus is excellent value. The Flex 30 plan saves our family a fortune."
R747,"Support sorted my problem in minutes, really friendly. Fine in town, no signal in the countryside."
R748,"Decent value, though the bill was confusing. Coverage is good but the app crashes sometimes."
R749,"Friendly staff in the Saltmoor shop. Honest pricing, no surprise charges. The Flex 10 plan saves our family a fortune."
R750,"Decent value, though the bill was confusing. The 5G is fast when you can get it."
R751,Coverage map is a lie in Cragwell. eSIM activation failed three times.
R752,Charged roaming fees I never used.
R753,Fast 5G in Brackenridge. The Prepay Go plan saves our family a fortune.
R754,"Excellent customer service. Cheapest plan I have found, Flex 10 is excellent value."
R755,"Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly."
R756,Switching with the eSIM took two minutes.
R757,Friendly staff in the Brackenridge shop. The 5G is fast when you can get it.
R758,"Cheapest plan I have found, Flex 10 is excellent value."
R759,"Honest pricing, no surprise charges."
R760,Fast 5G in Saltmoor. The app is simple and paying the bill is easy. Friendly staff in the Gullhaven shop.
R761,"No signal at home in Eastholm Quay, ever. Coverage map is a lie in Eastholm Quay."
R762,Excellent customer service. Never had a dropped call in 7 years.
R763,Charged roaming fees I never used.
R764,"Never had a dropped call in 9 years. Reliable signal even on the train. The Flex 30 plan saves our family a fortune. Good plan, average app."
R765,"Charged roaming fees I never used. The app logs me out and won't let me pay my bill. No signal at home in Cragwell, ever."
R766,Waited 70 minutes on hold for support.
R767,The app is simple and paying the bill is easy.
R768,"Fine in town, no signal in the countryside."
R769,Friendly staff in the Eastholm Quay shop. Never had a dropped call in 3 years. Excellent customer service.
R770,"Cheapest plan I have found, Unlimited Plus is excellent value. Support sorted my problem in minutes, really friendly."
R771,"Switching with the eSIM took two minutes. Good plan, average app."
R772,Waited 80 minutes on hold for support.
R773,Reliable signal even on the train.
R774,The app crashes every time I open it. The app logs me out and won't let me pay my bill.
R775,The Family Share plan saves our family a fortune. Never had a dropped call in 4 years.
R776,"Support sorted my problem in minutes, really friendly. The Flex 30 plan saves our family a fortune. Reliable signal even on the train."
R777,The app logs me out and won't let me pay my bill. eSIM activation failed three times.
R778,The app logs me out and won't let me pay my bill. Coverage map is a lie in Marrowby.
R779,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly. Fine in town, no signal in the countryside."
R780,Friendly staff in the Tern Harbour shop.
R781,They overcharged me $63.00 and refused a refund. Calls drop constantly in Saltmoor. My bill doubled and nobody could explain why.
R782,"Honest pricing, no surprise charges. Excellent customer service. Fine in town, no signal in the countryside."
R783,"Support sorted my problem in minutes, really friendly. Excellent customer service. Cheapest plan I have found, Flex 10 is excellent value. Cheap, but data is slow in Port Ember."
R784,Coverage map is a lie in Cragwell. They overcharged me $95.75 and refused a refund. The app crashes every time I open it.
R785,Reliable signal even on the train.
R786,"Honest pricing, no surprise charges. Switching with the eSIM took two minutes. Great coverage everywhere in Brackenridge."
R787,"Excellent customer service. Cheapest plan I have found, Flex 30 is excellent value. Reliable signal even on the train. Cheap, but data is slow in Tern Harbour."
R788,"Great coverage everywhere in Tern Harbour. Support sorted my problem in minutes, really friendly. Cheapest plan I have found, Flex 30 is excellent value."
R789,"Reliable signal even on the train. The app is simple and paying the bill is easy. Cheapest plan I have found, Family Share is excellent value. Cheap, but data is slow in Wrenfield."
R790,"Works most of the time. Good plan, average app."
R791,Coverage map is a lie in Wrenfield.
R792,Calls drop constantly in Marrowby. Waited 20 minutes on hold for support.
R793,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly."
R794,"Support sorted my problem in minutes, really friendly. Honest pricing, no surprise charges. The app is simple and paying the bill is easy."
R795,Never had a dropped call in 8 years.
R796,Reliable signal even on the train. Never had a dropped call in 5 years.
R797,Waited 30 minutes on hold for support. The app crashes every time I open it. Charged roaming fees I never used.
R798,"No signal at home in Brackenridge, ever."
R799,"Reliable signal even on the train. Friendly staff in the Cragwell shop. Honest pricing, no surprise charges."
R800,Friendly staff in the Lowmere shop. Reliable signal even on the train.
R801,Mobile data is painfully slow. Coverage map is a lie in Cragwell.
R802,Friendly staff in the Marrowby shop.
R803,Fast 5G in Brackenridge.
R804,"Dropped calls, dropped calls, dropped calls. The app logs me out and won't let me pay my bill. eSIM activation failed three times."
R805,"The Prepay Go plan saves our family a fortune. Switching with the eSIM took two minutes. Reliable signal even on the train. Decent value, though the bill was confusing."
R806,"Friendly staff in the Lowmere shop. Cheapest plan I have found, Flex 30 is excellent value."
R807,The app crashes every time I open it.
R808,"Works most of the time. Fine in town, no signal in the countryside."
R809,Excellent customer service.
R810,"Honest pricing, no surprise charges. Great coverage everywhere in Brackenridge."
R811,My bill doubled and nobody could explain why. The app logs me out and won't let me pay my bill.
R812,Excellent customer service. Reliable signal even on the train. Never had a dropped call in 5 years.
R813,They overcharged me $110.99 and refused a refund.
R814,"Support sorted my problem in minutes, really friendly. Coverage is good but the app crashes sometimes."
R815,"The app crashes every time I open it. eSIM activation failed three times. Fine in town, no signal in the countryside."
R816,Friendly staff in the Lowmere shop.
R817,Fast 5G in Saltmoor.
R818,Great coverage everywhere in Brackenridge.
R819,Waited 60 minutes on hold for support. Mobile data is painfully slow.
R820,"Cheapest plan I have found, Prepay Go is excellent value."
R821,Great coverage everywhere in Marrowby. Excellent customer service.
R822,"My bill doubled and nobody could explain why. No signal at home in Eastholm Quay, ever. The app crashes every time I open it. The 5G is fast when you can get it."
R823,Never had a dropped call in 4 years. The app is simple and paying the bill is easy. The Flex 10 plan saves our family a fortune.
R824,The app logs me out and won't let me pay my bill. eSIM activation failed three times.
R825,"Cheap, but data is slow in Cragwell. Works most of the time."
R826,"Cheapest plan I have found, Flex 10 is excellent value. Support sorted my problem in minutes, really friendly. Reliable signal even on the train."
R827,"Cheapest plan I have found, Prepay Go is excellent value. Honest pricing, no surprise charges."
R828,Excellent customer service. Switching with the eSIM took two minutes. Support is friendly but the hold times are long.
R829,Reliable signal even on the train.
R830,Calls drop constantly in Cragwell. Mobile data is painfully slow.
R831,"Cheap, but data is slow in Eastholm Quay. Support is friendly but the hold times are long."
R832,Calls drop constantly in Wrenfield.
R833,The app is simple and paying the bill is easy. Friendly staff in the Saltmoor shop.
R834,The app is simple and paying the bill is easy. The Prepay Go plan saves our family a fortune.
R835,Calls drop constantly in Cragwell. The app logs me out and won't let me pay my bill.
R836,The app is simple and paying the bill is easy.
R837,"Fast 5G in Saltmoor. The app is simple and paying the bill is easy. Good plan, average app."
R838,Calls drop constantly in Tern Harbour. eSIM activation failed three times.
R839,They overcharged me $46.25 and refused a refund.
R840,"No signal at home in Wrenfield, ever. The app crashes every time I open it."
R841,"Cheapest plan I have found, Family Share is excellent value. Honest pricing, no surprise charges. Support sorted my problem in minutes, really friendly."
R842,Charged roaming fees I never used. Mobile data is painfully slow.
R843,"No signal at home in Port Ember, ever. Charged roaming fees I never used."
R844,The Flex 10 plan saves our family a fortune.
R845,"Charged roaming fees I never used. My bill doubled and nobody could explain why. Decent value, though the bill was confusing."
R846,Excellent customer service. Great coverage everywhere in Eastholm Quay.
R847,"Friendly staff in the Saltmoor shop. Cheapest plan I have found, Flex 10 is excellent value. Never had a dropped call in 9 years."
R848,"Friendly staff in the Port Ember shop. Switching with the eSIM took two minutes. Cheap, but data is slow in Lowmere."
R849,Excellent customer service. Friendly staff in the Wrenfield shop.
R850,Great coverage everywhere in Saltmoor.
R851,The app is simple and paying the bill is easy.
R852,Excellent customer service.
R853,"Never had a dropped call in 7 years. Cheapest plan I have found, Unlimited Plus is excellent value. The Unlimited Plus plan saves our family a fortune."
R854,Mobile data is painfully slow.
R855,"The Flex 10 plan saves our family a fortune. Support sorted my problem in minutes, really friendly."
R856,"The Prepay Go plan saves our family a fortune. Honest pricing, no surprise charges."
R857,"Charged roaming fees I never used. No signal at home in Saltmoor, ever."
R858,Switching with the eSIM took two minutes.
R859,Excellent customer service.
R860,Reliable signal even on the train.
R861,"Mobile data is painfully slow. Fine in town, no signal in the countryside."
R862,Switching with the eSIM took two minutes. The Family Share plan saves our family a fortune. Great coverage everywhere in Saltmoor.
R863,Reliable signal even on the train. Friendly staff in the Tern Harbour shop.
R864,Works most of the time. The 5G is fast when you can get it.
R865,eSIM activation failed three times. My bill doubled and nobody could explain why. Charged roaming fees I never used. Support is friendly but the hold times are long.
R866,"Dropped calls, dropped calls, dropped calls. They overcharged me $108.50 and refused a refund. Calls drop constantly in Brackenridge. The 5G is fast when you can get it."
R867,Coverage is good but the app crashes sometimes. Support is friendly but the hold times are long.
R868,The app logs me out and won't let me pay my bill.
R869,The app is simple and paying the bill is easy. Reliable signal even on the train. Fast 5G in Tern Harbour.
R870,"Good plan, average app."
R871,"No signal at home in Saltmoor, ever."
R872,"Dropped calls, dropped calls, dropped calls. My bill doubled and nobody could explain why. Coverage map is a lie in Eastholm Quay."
R873,"Cheapest plan I have found, Family Share is excellent value."
R874,"Cheapest plan I have found, Flex 30 is excellent value. Excellent customer service. The Family Share plan saves our family a fortune."
R875,"Support sorted my problem in minutes, really friendly. Fine in town, no signal in the countryside."
R876,"Coverage map is a lie in Lowmere. Decent value, though the bill was confusing."
R877,My bill doubled and nobody could explain why.
R878,"Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly."
R879,Never had a dropped call in 8 years. Fast 5G in Gullhaven.
R880,Excellent customer service. The app is simple and paying the bill is easy.
R881,Reliable signal even on the train. The Family Share plan saves our family a fortune.
R882,"Cheapest plan I have found, Unlimited Plus is excellent value. Excellent customer service."
R883,"Honest pricing, no surprise charges. Cheapest plan I have found, Family Share is excellent value."
R884,"Support sorted my problem in minutes, really friendly. Never had a dropped call in 8 years."
R885,Support is friendly but the hold times are long. Coverage is good but the app crashes sometimes.
R886,Calls drop constantly in Wrenfield. The app logs me out and won't let me pay my bill.
R887,"Honest pricing, no surprise charges. Reliable signal even on the train."
R888,"Great coverage everywhere in Cragwell. Honest pricing, no surprise charges."
R889,Never had a dropped call in 3 years. Reliable signal even on the train.
R890,"Support sorted my problem in minutes, really friendly. Never had a dropped call in 8 years. Excellent customer service."
R891,Waited 30 minutes on hold for support. eSIM activation failed three times. The app logs me out and won't let me pay my bill.
R892,"No signal at home in Brackenridge, ever. Coverage map is a lie in Port Ember."
R893,"Honest pricing, no surprise charges."
R894,My bill doubled and nobody could explain why. Coverage map is a lie in Tern Harbour.
R895,Never had a dropped call in 2 years.
R896,Great coverage everywhere in Brackenridge. Friendly staff in the Lowmere shop.
R897,"Dropped calls, dropped calls, dropped calls. Charged roaming fees I never used."
R898,Switching with the eSIM took two minutes. Excellent customer service.
R899,"Fine in town, no signal in the countryside. Good plan, average app."
R900,Great coverage everywhere in Saltmoor.
