review_id,stars,text
R611,2,They overcharged me $39.25 and refused a refund. My bill doubled and nobody could explain why. The app crashes every time I open it.
R612,5,The app is simple and paying the bill is easy.
R613,2,"No signal at home in Port Ember, ever."
R614,2,Coverage map is a lie in Port Ember. eSIM activation failed three times.
R615,4,The Unlimited Plus plan saves our family a fortune. Never had a dropped call in 3 years.
R616,1,The app logs me out and won't let me pay my bill. Waited 70 minutes on hold for support.
R617,4,"Support sorted my problem in minutes, really friendly. Excellent customer service. Honest pricing, no surprise charges."
R618,4,"Friendly staff in the Eastholm Quay shop. Honest pricing, no surprise charges."
R619,5,Never had a dropped call in 8 years. Switching with the eSIM took two minutes.
R620,5,"Cheapest plan I have found, Unlimited Plus is excellent value. Fast 5G in Port Ember."
R621,4,"Friendly staff in the Cragwell shop. Excellent customer service. Cheapest plan I have found, Flex 10 is excellent value. The 5G is fast when you can get it."
R622,1,Mobile data is painfully slow. Calls drop constantly in Eastholm Quay. The app logs me out and won't let me pay my bill.
R623,5,The app is simple and paying the bill is easy. Excellent customer service.
R624,4,"Excellent customer service. Cheapest plan I have found, Flex 30 is excellent value. Switching with the eSIM took two minutes."
R625,5,The Prepay Go plan saves our family a fortune.
R626,2,Calls drop constantly in Saltmoor. Coverage map is a lie in Cragwell. Waited 60 minutes on hold for support.
R627,5,Fast 5G in Brackenridge.
R628,4,Friendly staff in the Cragwell shop. Excellent customer service.
R629,4,Friendly staff in the Wrenfield shop. Great coverage everywhere in Gullhaven.
R630,5,Switching with the eSIM took two minutes. Reliable signal even on the train.
R631,2,"The app logs me out and won't let me pay my bill. No signal at home in Marrowby, ever. Decent value, though the bill was confusing."
R632,5,Fast 5G in Port Ember. Friendly staff in the Gullhaven shop.
R633,1,Waited 70 minutes on hold for support. Charged roaming fees I never used.
R634,5,Great coverage everywhere in Cragwell.
R635,4,Switching with the eSIM took two minutes.
R636,1,Calls drop constantly in Lowmere. The app logs me out and won't let me pay my bill.
R637,5,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly. Reliable signal even on the train."
R638,1,Coverage map is a lie in Gullhaven. The app logs me out and won't let me pay my bill.
R639,4,"Fast 5G in Saltmoor. Cheapest plan I have found, Flex 10 is excellent value. Switching with the eSIM took two minutes. Works most of the time."
R640,5,Reliable signal even on the train.
R641,4,"The app is simple and paying the bill is easy. Honest pricing, no surprise charges. Excellent customer service."
R642,2,The app logs me out and won't let me pay my bill. Support is friendly but the hold times are long.
R643,1,My bill doubled and nobody could explain why.
R644,3,Support is friendly but the hold times are long. Works most of the time.
R645,1,Coverage map is a lie in Eastholm Quay. Mobile data is painfully slow.
R646,1,Waited 60 minutes on hold for support. Charged roaming fees I never used.
R647,1,Waited 40 minutes on hold for support.
R648,5,Friendly staff in the Wrenfield shop. Excellent customer service.
R649,4,Great coverage everywhere in Lowmere.
R650,2,eSIM activation failed three times.
R651,5,The app is simple and paying the bill is easy.
R652,5,The Family Share plan saves our family a fortune. Reliable signal even on the train. Friendly staff in the Gullhaven shop.
R653,5,"Friendly staff in the Brackenridge shop. Honest pricing, no surprise charges."
R654,4,Great coverage everywhere in Gullhaven.
R655,3,Coverage is good but the app crashes sometimes. The 5G is fast when you can get it.
R656,4,"Honest pricing, no surprise charges. Cheapest plan I have found, Flex 10 is excellent value."
R657,4,"Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly."
R658,4,"Honest pricing, no surprise charges. Support sorted my problem in minutes, really friendly."
R659,5,"Excellent customer service. Cheapest plan I have found, Unlimited Plus is excellent value. The app is simple and paying the bill is easy."
R660,4,"Support sorted my problem in minutes, really friendly. Support is friendly but the hold times are long."
R661,5,Friendly staff in the Lowmere shop.
R662,4,"Fast 5G in Tern Harbour. Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly. The 5G is fast when you can get it."
R663,4,Fast 5G in Cragwell. Great coverage everywhere in Port Ember.
R664,5,Fast 5G in Saltmoor. The app is simple and paying the bill is easy. Never had a dropped call in 7 years.
R665,5,Fast 5G in Eastholm Quay. Great coverage everywhere in Tern Harbour.
R666,4,Great coverage everywhere in Gullhaven.
R667,3,Support is friendly but the hold times are long.
R668,1,Mobile data is painfully slow. Coverage map is a lie in Eastholm Quay.
R669,1,eSIM activation failed three times.
R670,1,Charged roaming fees I never used. They overcharged me $22.00 and refused a refund. eSIM activation failed three times.
R671,4,The Flex 10 plan saves our family a fortune. Never had a dropped call in 7 years. Excellent customer service. Works most of the time.
R672,5,"Honest pricing, no surprise charges. Switching with the eSIM took two minutes. Never had a dropped call in 8 years."
R673,5,Reliable signal even on the train. The app is simple and paying the bill is easy. Fast 5G in Port Ember.
R674,3,"Decent value, though the bill was confusing. Support is friendly but the hold times are long."
R675,3,"Coverage is good but the app crashes sometimes. Fine in town, no signal in the countryside."
R676,5,Friendly staff in the Marrowby shop.
R677,3,"Coverage is good but the app crashes sometimes. Cheap, but data is slow in Brackenridge."
R678,2,"My bill doubled and nobody could explain why. Dropped calls, dropped calls, dropped calls. The app crashes every time I open it."
R679,5,"Cheapest plan I have found, Family Share is excellent value. Reliable signal even on the train."
R680,5,Great coverage everywhere in Saltmoor. Friendly staff in the Saltmoor shop.
R681,1,Coverage map is a lie in Brackenridge. eSIM activation failed three times.
R682,4,"Switching with the eSIM took two minutes. Honest pricing, no surprise charges."
R683,3,"Cheap, but data is slow in Brackenridge."
R684,3,"Works most of the time. Decent value, though the bill was confusing."
R685,2,"Charged roaming fees I never used. No signal at home in Eastholm Quay, ever. Support is friendly but the hold times are long."
R686,5,Great coverage everywhere in Marrowby. Fast 5G in Brackenridge. Reliable signal even on the train.
R687,4,Great coverage everywhere in Saltmoor.
R688,1,"No signal at home in Cragwell, ever. eSIM activation failed three times. The app crashes every time I open it."
R689,4,"Support sorted my problem in minutes, really friendly."
R690,5,Never had a dropped call in 3 years. Great coverage everywhere in Brackenridge.
R691,5,"Never had a dropped call in 9 years. Support sorted my problem in minutes, really friendly."
R692,1,"Dropped calls, dropped calls, dropped calls. The app crashes every time I open it."
R693,3,"Fine in town, no signal in the countryside."
R694,5,"Switching with the eSIM took two minutes. Honest pricing, no surprise charges."
R695,5,"Excellent customer service. Support sorted my problem in minutes, really friendly. Cheapest plan I have found, Prepay Go is excellent value."
R696,2,Charged roaming fees I never used. The app logs me out and won't let me pay my bill. Support is friendly but the hold times are long.
R697,1,Calls drop constantly in Tern Harbour. Coverage map is a lie in Marrowby.
R698,5,Reliable signal even on the train. Switching with the eSIM took two minutes.
R699,5,"Cheapest plan I have found, Prepay Go is excellent value."
R700,5,"Honest pricing, no surprise charges. Fast 5G in Saltmoor. Friendly staff in the Brackenridge shop."
R701,4,Friendly staff in the Cragwell shop.
R702,5,The app is simple and paying the bill is easy.
R703,5,"Support sorted my problem in minutes, really friendly."
R704,3,"Works most of the time. Good plan, average app."
R705,4,"Honest pricing, no surprise charges. Friendly staff in the Wrenfield shop."
R706,5,"Never had a dropped call in 2 years. Support sorted my problem in minutes, really friendly."
R707,4,Reliable signal even on the train. Fast 5G in Eastholm Quay.
R708,1,eSIM activation failed three times. My bill doubled and nobody could explain why. Coverage map is a lie in Gullhaven.
R709,1,Charged roaming fees I never used. eSIM activation failed three times.
R710,1,Charged roaming fees I never used. Waited 90 minutes on hold for support.
R711,4,Reliable signal even on the train. Switching with the eSIM took two minutes.
R712,5,"The Prepay Go plan saves our family a fortune. Fast 5G in Port Ember. Cheapest plan I have found, Flex 30 is excellent value."
R713,1,Charged roaming fees I never used. The app crashes every time I open it.
R714,1,Calls drop constantly in Marrowby.
R715,4,"Never had a dropped call in 4 years. Switching with the eSIM took two minutes. Fast 5G in Wrenfield. Decent value, though the bill was confusing."
R716,2,"eSIM activation failed three times. Dropped calls, dropped calls, dropped calls. The 5G is fast when you can get it."
R717,3,Support is friendly but the hold times are long. Coverage is good but the app crashes sometimes.
R718,4,"The app is simple and paying the bill is easy. Fast 5G in Wrenfield. Cheapest plan I have found, Flex 30 is excellent value."
R719,1,Coverage map is a lie in Lowmere. Calls drop constantly in Cragwell.
R720,4,"Great coverage everywhere in Gullhaven. The Prepay Go plan saves our family a fortune. Cheapest plan I have found, Prepay Go is excellent value."
R721,5,Great coverage everywhere in Brackenridge.
R722,4,The Family Share plan saves our family a fortune. Great coverage everywhere in Tern Harbour.
R723,3,The 5G is fast when you can get it.
R724,4,"Great coverage everywhere in Saltmoor. Excellent customer service. Support sorted my problem in minutes, really friendly. Works most of the time."
R725,1,"Coverage map is a lie in Eastholm Quay. Dropped calls, dropped calls, dropped calls."
R726,5,The Flex 30 plan saves our family a fortune. The app is simple and paying the bill is easy.
R727,2,Charged roaming fees I never used. Coverage is good but the app crashes sometimes.
R728,1,eSIM activation failed three times. Charged roaming fees I never used.
R729,4,Fast 5G in Marrowby.
R730,5,Reliable signal even on the train.
R731,4,"Honest pricing, no surprise charges. Fast 5G in Brackenridge."
R732,5,The Unlimited Plus plan saves our family a fortune.
R733,1,"No signal at home in Gullhaven, ever. Dropped calls, dropped calls, dropped calls. The app logs me out and won't let me pay my bill."
R734,3,"Good plan, average app. Support is friendly but the hold times are long."
R735,4,"Friendly staff in the Port Ember shop. Fast 5G in Saltmoor. Support sorted my problem in minutes, really friendly."
R736,1,Charged roaming fees I never used. They overcharged me $13.25 and refused a refund.
R737,4,"Honest pricing, no surprise charges."
R738,3,Works most of the time.
R739,5,Switching with the eSIM took two minutes. Never had a dropped call in 5 years.
R740,1,They overcharged me $82.99 and refused a refund.
R741,1,The app logs me out and won't let me pay my bill. eSIM activation failed three times.
R742,2,"No signal at home in Saltmoor, ever. Coverage map is a lie in Cragwell. They overcharged me $120.99 and refused a refund. The 5G is fast when you can get it."
R743,4,Reliable signal even on the train. Excellent customer service.
R744,5,"Support sorted my problem in minutes, really friendly."
R745,1,Mobile data is painfully slow. They overcharged me $76.00 and refused a refund.
R746,4,"Cheapest plan I have found, Unlimited Plus is excellent value. The Flex 30 plan saves our family a fortune."
R747,4,"Support sorted my problem in minutes, really friendly. Fine in town, no signal in the countryside."
R748,3,"Decent value, though the bill was confusing. Coverage is good but the app crashes sometimes."
R749,4,"Friendly staff in the Saltmoor shop. Honest pricing, no surprise charges. The Flex 10 plan saves our family a fortune."
R750,3,"Decent value, though the bill was confusing. The 5G is fast when you can get it."
R751,1,Coverage map is a lie in Cragwell. eSIM activation failed three times.
R752,1,Charged roaming fees I never used.
R753,5,Fast 5G in Brackenridge. The Prepay Go plan saves our family a fortune.
R754,5,"Excellent customer service. Cheapest plan I have found, Flex 10 is excellent value."
R755,5,"Switching with the eSIM took two minutes. Support sorted my problem in minutes, really friendly."
R756,5,Switching with the eSIM took two minutes.
R757,4,Friendly staff in the Brackenridge shop. The 5G is fast when you can get it.
R758,5,"Cheapest plan I have found, Flex 10 is excellent value."
R759,4,"Honest pricing, no surprise charges."
R760,5,Fast 5G in Saltmoor. The app is simple and paying the bill is easy. Friendly staff in the Gullhaven shop.
R761,2,"No signal at home in Eastholm Quay, ever. Coverage map is a lie in Eastholm Quay."
R762,5,Excellent customer service. Never had a dropped call in 7 years.
R763,1,Charged roaming fees I never used.
R764,4,"Never had a dropped call in 9 years. Reliable signal even on the train. The Flex 30 plan saves our family a fortune. Good plan, average app."
R765,2,"Charged roaming fees I never used. The app logs me out and won't let me pay my bill. No signal at home in Cragwell, ever."
R766,2,Waited 70 minutes on hold for support.
R767,4,The app is simple and paying the bill is easy.
R768,3,"Fine in town, no signal in the countryside."
R769,5,Friendly staff in the Eastholm Quay shop. Never had a dropped call in 3 years. Excellent customer service.
R770,4,"Cheapest plan I have found, Unlimited Plus is excellent value. Support sorted my problem in minutes, really friendly."
R771,4,"Switching with the eSIM took two minutes. Good plan, average app."
R772,1,Waited 80 minutes on hold for support.
R773,5,Reliable signal even on the train.
R774,2,The app crashes every time I open it. The app logs me out and won't let me pay my bill.
R775,5,The Family Share plan saves our family a fortune. Never had a dropped call in 4 years.
R776,5,"Support sorted my problem in minutes, really friendly. The Flex 30 plan saves our family a fortune. Reliable signal even on the train."
R777,2,The app logs me out and won't let me pay my bill. eSIM activation failed three times.
R778,1,The app logs me out and won't let me pay my bill. Coverage map is a lie in Marrowby.
R779,4,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly. Fine in town, no signal in the countryside."
R780,5,Friendly staff in the Tern Harbour shop.
R781,1,They overcharged me $63.00 and refused a refund. Calls drop constantly in Saltmoor. My bill doubled and nobody could explain why.
R782,4,"Honest pricing, no surprise charges. Excellent customer service. Fine in town, no signal in the countryside."
R783,4,"Support sorted my problem in minutes, really friendly. Excellent customer service. Cheapest plan I have found, Flex 10 is excellent value. Cheap, but data is slow in Port Ember."
R784,1,Coverage map is a lie in Cragwell. They overcharged me $95.75 and refused a refund. The app crashes every time I open it.
R785,5,Reliable signal even on the train.
R786,4,"Honest pricing, no surprise charges. Switching with the eSIM took two minutes. Great coverage everywhere in Brackenridge."
R787,4,"Excellent customer service. Cheapest plan I have found, Flex 30 is excellent value. Reliable signal even on the train. Cheap, but data is slow in Tern Harbour."
R788,5,"Great coverage everywhere in Tern Harbour. Support sorted my problem in minutes, really friendly. Cheapest plan I have found, Flex 30 is excellent value."
R789,4,"Reliable signal even on the train. The app is simple and paying the bill is easy. Cheapest plan I have found, Family Share is excellent value. Cheap, but data is slow in Wrenfield."
R790,3,"Works most of the time. Good plan, average app."
R791,1,Coverage map is a lie in Wrenfield.
R792,1,Calls drop constantly in Marrowby. Waited 20 minutes on hold for support.
R793,5,"Cheapest plan I have found, Flex 30 is excellent value. Support sorted my problem in minutes, really friendly."
R794,4,"Support sorted my problem in minutes, really friendly. Honest pricing, no surprise charges. The app is simple and paying the bill is easy."
R795,5,Never had a dropped call in 8 years.
R796,5,Reliable signal even on the train. Never had a dropped call in 5 years.
R797,1,Waited 30 minutes on hold for support. The app crashes every time I open it. Charged roaming fees I never used.
R798,1,"No signal at home in Brackenridge, ever."
R799,5,"Reliable signal even on the train. Friendly staff in the Cragwell shop. Honest pricing, no surprise charges."
R800,4,Friendly staff in the Lowmere shop. Reliable signal even on the train.
R801,2,Mobile data is painfully slow. Coverage map is a lie in Cragwell.
R802,5,Friendly staff in the Marrowby shop.
R803,5,Fast 5G in Brackenridge.
R804,2,"Dropped calls, dropped calls, dropped calls. The app logs me out and won't let me pay my bill. eSIM activation failed three times."
R805,4,"The Prepay Go plan saves our family a fortune. Switching with the eSIM took two minutes. Reliable signal even on the train. Decent value, though the bill was confusing."
R806,4,"Friendly staff in the Lowmere shop. Cheapest plan I have found, Flex 30 is excellent value."
R807,1,The app crashes every time I open it.
R808,3,"Works most of the time. Fine in town, no signal in the countryside."
R809,5,Excellent customer service.
R810,4,"Honest pricing, no surprise charges. Great coverage everywhere in Brackenridge."
R811,1,My bill doubled and nobody could explain why. The app logs me out and won't let me pay my bill.
R812,5,Excellent customer service. Reliable signal even on the train. Never had a dropped call in 5 years.
R813,1,They overcharged me $110.99 and refused a refund.
R814,4,"Support sorted my problem in minutes, really friendly. Coverage is good but the app crashes sometimes."
R815,2,"The app crashes every time I open it. eSIM activation failed three times. Fine in town, no signal in the countryside."
R816,4,Friendly staff in the Lowmere shop.
R817,4,Fast 5G in Saltmoor.
R818,4,Great coverage everywhere in Brackenridge.
R819,1,Waited 60 minutes on hold for support. Mobile data is painfully slow.
R820,4,"Cheapest plan I have found, Prepay Go is excellent value."
R821,5,Great coverage everywhere in Marrowby. Excellent customer service.
R822,2,"My bill doubled and nobody could explain why. No signal at home in Eastholm Quay, ever. The app crashes every time I open it. The 5G is fast when you can get it."
R823,4,Never had a dropped call in 4 years. The app is simple and paying the bill is easy. The Flex 10 plan saves our family a fortune.
R824,1,The app logs me out and won't let me pay my bill. eSIM activation failed three times.
R825,3,"Cheap, but data is slow in Cragwell. Works most of the time."
R826,5,"Cheapest plan I have found, Flex 10 is excellent value. Support sorted my problem in minutes, really friendly. Reliable signal even on the train."
R827,5,"Cheapest plan I have found, Prepay Go is excellent value. Honest pricing, no surprise charges."
R828,4,Excellent customer service. Switching with the eSIM took two minutes. Support is friendly but the hold times are long.
R829,5,Reliable signal even on the train.
R830,2,Calls drop constantly in Cragwell. Mobile data is painfully slow.
R831,3,"Cheap, but data is slow in Eastholm Quay. Support is friendly but the hold times are long."
R832,1,Calls drop constantly in Wrenfield.
R833,5,The app is simple and paying the bill is easy. Friendly staff in the Saltmoor shop.
R834,4,The app is simple and paying the bill is easy. The Prepay Go plan saves our family a fortune.
R835,1,Calls drop constantly in Cragwell. The app logs me out and won't let me pay my bill.
R836,5,The app is simple and paying the bill is easy.
R837,4,"Fast 5G in Saltmoor. The app is simple and paying the bill is easy. Good plan, average app."
R838,1,Calls drop constantly in Tern Harbour. eSIM activation failed three times.
R839,1,They overcharged me $46.25 and refused a refund.
R840,1,"No signal at home in Wrenfield, ever. The app crashes every time I open it."
R841,5,"Cheapest plan I have found, Family Share is excellent value. Honest pricing, no surprise charges. Support sorted my problem in minutes, really friendly."
R842,1,Charged roaming fees I never used. Mobile data is painfully slow.
R843,1,"No signal at home in Port Ember, ever. Charged roaming fees I never used."
R844,4,The Flex 10 plan saves our family a fortune.
R845,2,"Charged roaming fees I never used. My bill doubled and nobody could explain why. Decent value, though the bill was confusing."
R846,4,Excellent customer service. Great coverage everywhere in Eastholm Quay.
R847,5,"Friendly staff in the Saltmoor shop. Cheapest plan I have found, Flex 10 is excellent value. Never had a dropped call in 9 years."
R848,4,"Friendly staff in the Port Ember shop. Switching with the eSIM took two minutes. Cheap, but data is slow in Lowmere."
R849,5,Excellent customer service. Friendly staff in the Wrenfield shop.
R850,5,Great coverage everywhere in Saltmoor.
R851,5,The app is simple and paying the bill is easy.
R852,5,Excellent customer service.
R853,5,"Never had a dropped call in 7 years. Cheapest plan I have found, Unlimited Plus is excellent value. The Unlimited Plus plan saves our family a fortune."
R854,1,Mobile data is painfully slow.
R855,5,"The Flex 10 plan saves our family a fortune. Support sorted my problem in minutes, really friendly."
R856,5,"The Prepay Go plan saves our family a fortune. Honest pricing, no surprise charges."
R857,1,"Charged roaming fees I never used. No signal at home in Saltmoor, ever."
R858,4,Switching with the eSIM took two minutes.
R859,5,Excellent customer service.
R860,5,Reliable signal even on the train.
R861,2,"Mobile data is painfully slow. Fine in town, no signal in the countryside."
R862,5,Switching with the eSIM took two minutes. The Family Share plan saves our family a fortune. Great coverage everywhere in Saltmoor.
R863,5,Reliable signal even on the train. Friendly staff in the Tern Harbour shop.
R864,3,Works most of the time. The 5G is fast when you can get it.
R865,2,eSIM activation failed three times. My bill doubled and nobody could explain why. Charged roaming fees I never used. Support is friendly but the hold times are long.
R866,2,"Dropped calls, dropped calls, dropped calls. They overcharged me $108.50 and refused a refund. Calls drop constantly in Brackenridge. The 5G is fast when you can get it."
R867,3,Coverage is good but the app crashes sometimes. Support is friendly but the hold times are long.
R868,1,The app logs me out and won't let me pay my bill.
R869,5,The app is simple and paying the bill is easy. Reliable signal even on the train. Fast 5G in Tern Harbour.
R870,3,"Good plan, average app."
R871,1,"No signal at home in Saltmoor, ever."
R872,1,"Dropped calls, dropped calls, dropped calls. My bill doubled and nobody could explain why. Coverage map is a lie in Eastholm Quay."
R873,5,"Cheapest plan I have found, Family Share is excellent value."
