ticket_id,received,channel,department,text
T10038,2026-02-20,chat,network,"Good morning, is there an outage in Marrowby? Nobody on our street has signal. I need a replacement as soon as possible. Other networks work fine in the same spot. Thank you."
T10039,2026-07-01,email,account,"Hello Kittiwake, my number was moved to another SIM without my permission and now I have no signal. I can't afford to pay $58.99 this month."
T10040,2026-05-21,email,account,"I was charged $77.75 after someone else took over my account. Can someone look at my invoice? Thanks, Lise"
T10041,2026-04-12,email,billing,"Hi, the eSIM add-on is on my bill as $38.99 and I never asked for it. Thanks."
T10042,2026-01-04,email,device,"Hello Kittiwake, order KW-93718 for a Corvid 5 Pro still hasn't been delivered. It is still under warranty. I want to return it. Please help."
T10043,2026-01-25,email,device,"Good morning, the Nimbus X2 on my bill has a broken screen and I need a repair. It's not letting me change anything in the app. This is really not good enough."
T10044,2026-02-15,sms,device,my corvid 5 shows no service but my partner's phone works fine on the same network i dont want to lose my number this is really not good enough
T10045,2026-05-13,email,device,"Hello Kittiwake, my Corvid 5 Pro keeps restarting by itself. I don't want to lose my number. Thanks, Callum"
T10046,2026-07-03,email,device,"The Corvid 5 on my bill has a broken screen and I need a repair. Nobody has replied to my last message. Regards, Asha."
T10047,2026-04-21,email,billing,"Hello, I was charged $76.99 for a Nimbus X2 I returned two days ago. My account number is on the bill."
T10048,2026-05-11,sms,billing,the esim add-on is on my bill as $13.00 and i never asked for it pls refund the difference
T10049,2026-05-20,email,network,Wi-Fi calling stopped working after my account was upgraded. My neighbours on Kittiwake Mobile have the same problem. My neighbours on Kittiwake Mobile have the same problem. This is really not good enough.
T10050,2026-08-24,sms,network,"hello kittiwake, wi-fi calling stopped working after my account was upgraded"
T10051,2026-01-09,email,network,"Good morning, my account says 5G but my Nimbus Mini never shows more than one bar in Tern Harbour. It is still under warranty."
T10052,2026-07-21,sms,account,"hi, i want to transfer my number to a new account it's not the phone, it happens on every handset thank you"
T10053,2026-02-05,email,billing,"Hello Kittiwake, I cancelled the add-on yesterday and I'm still being billed for it. It's not the phone, it happens on every handset. Please help."
T10054,2026-03-21,email,device,"Hello, the touchscreen on my Aster Fold stopped responding 11 March. It was fine until on Wednesday. Thanks, Callum"
T10055,2026-02-18,email,device,My account is locked after too many login attempts. I've only had it 13 days. Thank you.
T10056,2026-08-08,chat,network,"To whom it may concern, coverage inside my house in Lowmere is zero bars."
T10057,2026-02-05,sms,billing,"hello, why was i charged roaming fees when i never left lowmere? my account number is on the bill the charge is not on my contract this is really not good enough"
T10058,2026-05-04,email,device,"Hi there, I can't log in to anything on my Corvid 5 Pro since the update, the screen freezes. I work from home and I can't do my job without signal. Thank you."
T10059,2026-04-12,chat,network,"Good morning, since I got the Nimbus Mini there is no data in Gullhaven, and my other phone is the same. Other networks work fine in the same spot. I tried another SIM and it's the same. Please help."
T10060,2026-06-21,sms,network,"my account says 5g but my nimbus x2 never shows more than one bar in marrowby regards, ines"
T10061,2026-07-12,email,account,"Hi, I need a PUK code, my SIM is blocked. I work from home and I can't do my job without signal. I don't know who did it. Please help."
T10062,2026-08-24,email,billing,"Hi, there is a charge of $43.99 I don't recognise on my last invoice. The charge is not on my contract. Regards, Declan."
T10063,2026-02-27,chat,network,"Good morning, wi-Fi calling stopped working after my account was upgraded. I have restarted the phone and it's still not working. Thank you."
T10064,2026-01-07,chat,billing,"Hello, I'm paying $38.75 for Unlimited Plus but data barely works in Eastholm Quay, I want money back. Thank you."
T10065,2026-03-04,sms,network,"hi, i have had no signal at all in tern harbour since this morning it's not the phone, it happens on every handset thx, oona"
T10066,2026-02-05,chat,account,"Hi there, I want to move my Nimbus X2 contract to my daughter's account. Please confirm by email. Thanks, Hedda"
T10067,2026-06-25,chat,billing,"Good morning, I paid my bill last Friday but the app still says it is overdue. Can someone look at my invoice? Regards, Joss."
T10068,2026-06-13,email,network,"Hello, my Nimbus X2 shows no service but my partner's phone works fine on the same network. I want to return it."
T10069,2026-05-09,chat,network,"My account says 5G but my Corvid 5 never shows more than one bar in Brackenridge. It's not the phone, it happens on every handset."
T10070,2026-04-21,chat,billing,"Why was I charged roaming fees when I never left Gullhaven? I don't want to lose my number. Thanks, Wynn"
T10071,2026-06-14,chat,network,"Good morning, data speeds in Wrenfield are so slow that pages won't load. I have restarted the phone and it's still not working. Regards, Oona."
T10072,2026-02-05,email,billing,"To whom it may concern, I was charged for a replacement Corvid 5 that is still under warranty. Thanks, Teodor"
T10073,2026-04-01,sms,account,"hi, i want to upgrade from family share to unlimited plus regards, ines"
T10074,2026-05-05,sms,account,"good morning, i want to transfer my number to a new account i have my id ready if u need it this is really not good enough"
T10075,2026-04-18,email,billing,"Good morning, the price of Unlimited Plus went up without any notice. Can someone look at my invoice? Thanks, Mara"
T10076,2026-05-01,sms,billing,"hello kittiwake, u took $125.99 from my card twice this month can someone look at my invoice? thank you"
T10077,2026-06-16,chat,network,Data speeds in Brackenridge are so slow that pages won't load. I want to return it. Thank you.
T10078,2026-05-17,chat,account,"Hello Kittiwake, I need to update my address, I have moved to Port Ember. I don't want to lose my number. Thanks."
T10079,2026-06-19,sms,account,"hello, i cant log in to my account, the password reset email never arrives i have restarted the phone and it's still not working"
T10080,2026-03-04,sms,network,"hello kittiwake, there is a charge of $73.25 i dont recognise on my last invoice i cant afford to pay $17.50 this month"
T10081,2026-07-03,chat,billing,"Hello, I was charged $108.75 for a Nimbus X2 I returned 22 May. My account number is on the bill. Regards, Fen."
T10082,2026-08-02,email,network,Is there an outage in Cragwell? Nobody on our street has signal. Other networks work fine in the same spot.
T10083,2026-08-13,chat,network,"Hi there, I can't make calls or send texts, it just says no service. I work from home and I can't do my job without signal. Thanks, Wynn"
T10084,2026-08-19,email,billing,"My bill for 22 July is $95.50, which is double what I normally pay. I have tried 6 times. Please help."
T10085,2026-02-04,email,device,"Hello, my Corvid 5 Pro shows no service but my partner's phone works fine on the same network. I've only had it 9 days. Regards, Joss."
T10086,2026-08-02,email,account,Someone has changed my account details without my permission. I can't afford to pay $51.00 this month. Thanks.
T10087,2026-08-01,email,device,"Hello, my Nimbus Mini shows no service but my partner's phone works fine on the same network. Other networks work fine in the same spot. I've only had it 2 days. Thank you."
T10088,2026-08-23,chat,device,"Hello, the new Corvid 5 Pro drops every call, the old one never did in Saltmoor."
T10089,2026-01-23,chat,network,Data speeds in Port Ember are so slow that pages won't load. It was fine until this morning. Thank you.
T10090,2026-03-26,email,network,I'm on Family Share and paying $106.00 a month but I can't get signal in Port Ember. I work from home and I can't do my job without signal. My neighbours on Kittiwake Mobile have the same problem. Please help.
T10091,2026-04-19,email,device,"Hello, the SIM card you posted doesn't fit my Corvid 5 Pro. It's not the phone, it happens on every handset. This is really not good enough."
T10092,2026-06-03,email,device,The Nimbus Mini on my bill has a broken screen and I need a repair. I want to return it.
T10093,2026-07-16,chat,network,"Good morning, I was charged for a replacement Aster Fold that is still under warranty. Please refund the difference."
T10094,2026-01-06,chat,account,"To whom it may concern, my account is locked after too many login attempts. I have restarted the phone and it's still not working."
T10095,2026-02-18,chat,device,"I can't log in to anything on my Corvid 5 Pro since the update, the screen freezes."
T10096,2026-08-14,chat,device,My new Nimbus X2 won't turn on after the update. The courier said it was delivered but it wasn't.
T10097,2026-04-19,sms,billing,"hi, the price of flex 10 went up without any notice thx"
T10098,2026-07-23,sms,network,"wi-fi calling stopped working after my account was upgraded i have my id ready if u need it regards, priya"
T10099,2026-02-22,chat,billing,"Hi there, I'm paying $130.00 for Unlimited Plus but data barely works in Eastholm Quay, I want money back. The charge is not on my contract."
T10100,2026-03-18,chat,billing,"Hi, my bill shows calls I never made, I think someone else used my number."
T10101,2026-05-18,sms,network,is there an outage in eastholm quay? nobody on our street has signal thx
T10102,2026-01-06,email,device,"Hi, my Corvid 5 shows no service but my partner's phone works fine on the same network. I can't use the phone at all. Regards, Joss."
T10103,2026-08-19,chat,network,"Hello Kittiwake, since I got the Nimbus Mini there is no data in Gullhaven, and my other phone is the same. Can someone look at my invoice?"
T10104,2026-05-08,chat,network,"To whom it may concern, the mast near Port Ember must be down, calls fail every time. I work from home and I can't do my job without signal. Please help."
T10105,2026-02-20,email,billing,"Hello, I was billed for Flex 10 but I switched to Family Share on 9 April. Nobody has replied to my last message."
T10106,2026-08-28,email,network,"To whom it may concern, the mast near Marrowby must be down, calls fail every time. It was fine until last Tuesday. Thank you."
T10107,2026-01-07,email,account,"Hi there, I want to move my Corvid 5 contract to my daughter's account. My account number is on the bill. Regards, Oona."
T10108,2026-08-19,email,billing,"Hello Kittiwake, I was charged for a replacement Corvid 5 Pro that is still under warranty. The charge is not on my contract. Thank you."
T10109,2026-05-01,email,billing,There is a charge of $132.25 I don't recognise on my last invoice. I bought it on the Prepay Go plan. I checked my bank statement and the money has gone. Thanks.
T10110,2026-07-13,email,network,Is there an outage in Eastholm Quay? Nobody on our street has signal. Please confirm by email. This is really not good enough.
T10111,2026-03-05,sms,network,i'm on family share and paying $133.99 a month but i cant get signal in eastholm quay i dont know who did it
T10112,2026-07-23,email,device,"Hello Kittiwake, my Corvid 5 Pro shows no service but my partner's phone works fine on the same network. The courier said it was delivered but it wasn't. I've only had it 11 days."
T10113,2026-05-25,sms,account,"good morning, pls remove ines as an authorised user on my account i have restarted the phone and it's still not working regards, bram"
T10114,2026-07-15,email,account,"Hello Kittiwake, I want to move my Nimbus Mini contract to my daughter's account. My neighbours on Kittiwake Mobile have the same problem. Thanks, Declan"
T10115,2026-01-09,email,account,I was charged $69.75 after someone else took over my account. Please help.
T10116,2026-08-17,email,billing,"Hello, I was billed for Family Share but I switched to Unlimited Plus on 23 March. I shouldn't have to pay for something I didn't use. I can't afford to pay $23.99 this month."
T10117,2026-04-22,chat,network,"Hi there, calls drop as soon as I get on the train to Lowmere. It is still under warranty. Regards, Teodor."
T10118,2026-01-13,sms,network,"good morning, since i got the corvid 5 there is no data in port ember, and my other phone is the same the charge is not on my contract thx"
T10119,2026-06-05,chat,device,"Hi, the Corvid 5 on my bill has a broken screen and I need a repair. I'm not paying for a service that doesn't work."
T10120,2026-04-27,email,network,"Hi there, voicemail isn't working and missed calls don't show up."
T10121,2026-07-27,chat,network,"To whom it may concern, wi-Fi calling stopped working after my account was upgraded. Please refund the difference."
T10122,2026-04-16,email,billing,"Hello, the eSIM add-on is on my bill as $104.25 and I never asked for it. My account number is on the bill. Thank you."
T10123,2026-07-04,email,account,"Hello Kittiwake, I want to move my Nimbus Mini contract to my daughter's account. I don't know who did it."
T10124,2026-08-21,chat,account,"My account is locked after too many login attempts. Regards, Callum."
T10125,2026-07-25,email,billing,"Hello, my bill shows calls I never made, I think someone else used my number. Other networks work fine in the same spot. Thank you."
T10126,2026-06-01,chat,network,"My account says 5G but my Aster Fold never shows more than one bar in Cragwell. I tried another SIM and it's the same. Regards, Ines."
T10127,2026-01-22,email,billing,"Good morning, I was charged $50.50 for a Aster Fold I returned this morning. Please refund the difference. I shouldn't have to pay for something I didn't use. Thank you."
T10128,2026-02-25,email,billing,"Hello, I was charged for a replacement Corvid 5 Pro that is still under warranty. I can't afford to pay $12.75 this month. Thanks, Asha"
T10129,2026-06-16,email,billing,"Hi there, why was I charged roaming fees when I never left Eastholm Quay? This is urgent, I can't access anything. Thank you."
T10130,2026-07-10,chat,billing,"You took $73.00 from my card twice this month. I have been a customer for 8 years and this has never happened. Can someone look at my invoice? Regards, Hedda."
T10131,2026-04-16,email,account,"To whom it may concern, the app says my account doesn't exist but I've been a customer for 5 years. It's not letting me change anything in the app. It's not letting me change anything in the app."
T10132,2026-06-09,email,device,"Hi, order KW-33437 for a Nimbus X2 still hasn't been delivered. Regards, Ines."
T10133,2026-01-06,chat,billing,"Why was I charged roaming fees when I never left Saltmoor? I can't use the phone at all. Regards, Hedda."
T10134,2026-05-10,email,account,I want to upgrade from Flex 30 to Prepay Go. Can someone look at my invoice? Thank you.
T10135,2026-05-27,email,account,"Hi there, my Corvid 5 gets very hot and shuts down. I've only had it 2 days. Please help."
T10136,2026-08-20,email,billing,"Hello, I was billed for Flex 10 but I switched to Unlimited Plus on 10 March. Please refund the difference. Can someone look at my invoice?"
T10137,2026-06-10,chat,billing,"Hello, I'm paying $57.25 for Unlimited Plus but data barely works in Lowmere, I want money back. My account number is on the bill. The charge is not on my contract. Please help."
T10138,2026-05-11,email,account,"Hello, someone has changed my account details without my permission. It was fine until this morning. Thanks."
T10139,2026-08-27,email,network,"Mobile data is not working anywhere in Tern Harbour. This is urgent, I can't access anything."
T10140,2026-03-15,email,device,"Hi, my Nimbus X2 gets very hot and shuts down. Nobody has replied to my last message. Regards, Priya."
T10141,2026-08-10,sms,device,"hi there, my new nimbus mini wont turn on after the update the courier said it was delivered but it wasn't i have tried a factory reset and it didn't help"
T10142,2026-08-14,email,network,"Hello, since I got the Nimbus X2 there is no data in Saltmoor, and my other phone is the same. This is really not good enough."
T10143,2026-06-16,email,billing,"Hello, I was promised a refund of $53.50 and it has not arrived. I can't afford to pay $131.75 this month. Thank you."
T10144,2026-07-13,email,billing,The eSIM add-on is on my bill as $80.75 and I never asked for it. I can't afford to pay $48.50 this month. Thanks.
T10145,2026-03-14,sms,billing,"to whom it may concern, i was charged $66.50 for a corvid 5 pro i returned this morning my neighbours on kittiwake mobile have the same problem"
T10146,2026-06-03,email,billing,I was charged for a replacement Nimbus X2 that is still under warranty. My account number is on the bill. Thank you.
T10147,2026-04-24,email,account,"Hello Kittiwake, my bill is going to an old address, please update it to Marrowby. It's not letting me change anything in the app."
T10148,2026-02-08,sms,network,"since i got the aster fold there is no data in lowmere, and my other phone is the same it is still under warranty"
T10149,2026-02-15,chat,network,"Hello Kittiwake, mobile data is not working anywhere in Saltmoor. Nobody has replied to my last message. I have restarted the phone and it's still not working. Please help."
T10150,2026-07-08,sms,billing,"i cancelled the add-on two days ago and i'm still being billed for it regards, hedda"
T10151,2026-02-27,email,account,"Good morning, I'm paying $62.25 for Unlimited Plus but data barely works in Marrowby, I want money back. I don't know who did it. Please help."
T10152,2026-04-06,email,billing,"Hi, I'm paying $12.99 for Unlimited Plus but data barely works in Brackenridge, I want money back. I can't afford to pay $57.99 this month. I can't afford to pay $70.99 this month. This is really not good enough."
T10153,2026-02-20,email,network,"Hello Kittiwake, wi-Fi calling stopped working after my account was upgraded. It was fine until on Wednesday. Thanks, Wynn"
T10154,2026-07-19,email,account,"My bill is going to an old address, please update it to Cragwell. Please help."
T10155,2026-04-02,chat,network,"Hi, I need a PUK code, my SIM is blocked. Regards, Mara."
T10156,2026-03-06,sms,device,"to whom it may concern, the camera on my nimbus x2 stopped working after the update thx"
T10157,2026-06-25,chat,device,The SIM card you posted doesn't fit my Nimbus X2. I'm not paying for a service that doesn't work. I bought it on the Flex 30 plan.
T10158,2026-08-09,email,billing,"My bill shows calls I never made, I think someone else used my number. I can't afford to pay $69.00 this month. I have been a customer for 7 years and this has never happened. Thank you."
T10159,2026-03-10,chat,device,"Hello, the Nimbus X2 I ordered (KW-87887) arrived with a cracked screen. It's not the phone, it happens on every handset."
T10160,2026-07-22,chat,device,"Good morning, the Corvid 5 Pro I ordered (KW-32513) arrived with a cracked screen. I can't use the phone at all."
T10161,2026-04-24,sms,account,the app says my account doesn't exist but i've been a customer for 8 years
T10162,2026-04-07,email,network,Is there an outage in Lowmere? Nobody on our street has signal. Thanks.
T10163,2026-08-27,sms,billing,"hi there, i was promised a refund of $45.75 and it has not arrived my neighbours on kittiwake mobile have the same problem this is really not good enough"
T10164,2026-06-18,chat,account,"Good morning, I want to transfer my number to a new account. I have my ID ready if you need it. I don't want to lose my number."
T10165,2026-07-27,email,network,I'm on Unlimited Plus and paying $134.00 a month but I can't get signal in Marrowby. I've only had it 7 days.
T10166,2026-07-22,email,device,"The new Corvid 5 drops every call, the old one never did in Brackenridge. My account number is on the bill. Thanks."
T10167,2026-07-13,sms,device,"my nimbus x2 gets very hot and shuts down i want to return it regards, lise"
T10168,2026-04-28,sms,billing,"hello kittiwake, my bill shows calls i never made, i think someone else used my number can someone look at my invoice? thx"
T10169,2026-01-15,email,device,"Hi, the eSIM will not activate on my Nimbus Mini."
T10170,2026-08-22,sms,billing,"good morning, my bill shows calls i never made, i think someone else used my number this is urgent, i cant access anything"
T10171,2026-07-17,chat,device,"Good morning, my Nimbus Mini shows no service but my partner's phone works fine on the same network. It's not the phone, it happens on every handset. Thanks."
T10172,2026-02-13,chat,billing,"Good morning, I paid my bill 16 March but the app still says it is overdue. I can't afford to pay $75.00 this month. My account number is on the bill. Please help."
T10173,2026-02-06,chat,network,"Hello, calls drop as soon as I get on the train to Cragwell. I work from home and I can't do my job without signal. This is really not good enough."
T10174,2026-06-17,sms,network,my account says 5g but my nimbus mini never shows more than one bar in lowmere i have tried 4 times
T10175,2026-02-24,email,billing,You took $140.99 from my card twice this month. I'm not paying for a service that doesn't work. This is really not good enough.
T10176,2026-06-23,chat,account,"Hi, I can't log in to my account, the password reset email never arrives. I don't want to lose my number."
T10177,2026-01-07,email,network,"The eSIM add-on is on my bill as $30.25 and I never asked for it. I have tried a factory reset and it didn't help. Regards, Priya."
T10178,2026-05-17,email,device,"To whom it may concern, my Nimbus X2 keeps restarting by itself. I don't want to lose my number. Thanks, Priya"
T10179,2026-04-20,chat,network,"Good morning, wi-Fi calling stopped working after my account was upgraded."
T10180,2026-03-25,email,billing,"Good morning, you took $12.50 from my card twice this month. I have tried 3 times. Regards, Hedda."
T10181,2026-08-09,chat,network,"Since I got the Corvid 5 Pro there is no data in Cragwell, and my other phone is the same. I have restarted the phone and it's still not working. Please help."
T10182,2026-06-07,chat,device,"Hello, the Nimbus X2 I ordered (KW-95383) arrived with a cracked screen. I bought it on the Prepay Go plan. Thanks."
T10183,2026-02-17,email,account,"Hello, I want to move my Nimbus X2 contract to my daughter's account. I can't use the phone at all. Nobody has replied to my last message. Please help."
T10184,2026-08-14,email,device,"Good morning, my Nimbus X2 shows no service but my partner's phone works fine on the same network. Please confirm by email. This is really not good enough."
T10185,2026-01-07,chat,network,I have had no signal at all in Marrowby since two days ago. I want to return it. My neighbours on Kittiwake Mobile have the same problem. Thanks.
T10186,2026-04-16,chat,device,"Hello, my new Aster Fold won't turn on after the update. The courier said it was delivered but it wasn't. Thanks, Tobias"
T10187,2026-01-27,chat,billing,"I was charged $93.00 for a Corvid 5 I returned 16 July. I have been a customer for 8 years and this has never happened. Regards, Teodor."
T10188,2026-02-27,email,billing,"Hello Kittiwake, I was billed for Prepay Go but I switched to Unlimited Plus on 21 April. My account number is on the bill. Please help."
T10189,2026-04-22,sms,billing,"good morning, i was charged for a replacement aster fold that is still under warranty my account number is on the bill pls refund the difference thx, fen"
T10190,2026-02-10,email,account,"Hello Kittiwake, my bill is going to an old address, please update it to Brackenridge. I'm not paying for a service that doesn't work. Thanks, Asha"
T10191,2026-04-16,email,account,"I was charged $125.50 after someone else took over my account. This is urgent, I can't access anything. Regards, Fen."
T10192,2026-08-20,chat,device,"Good morning, the new Nimbus Mini drops every call, the old one never did in Saltmoor. I need a replacement as soon as possible. Thanks."
T10193,2026-03-03,sms,account,my corvid 5 pro battery drains from full to empty in 2 hours thank you
T10194,2026-01-12,sms,network,"hello, i'm on prepay go and paying $107.25 a month but i cant get signal in brackenridge the charge is not on my contract thx, oona"
T10195,2026-08-24,email,network,"Good morning, my calls keep dropping in Wrenfield, sometimes 5 times an hour. My neighbours on Kittiwake Mobile have the same problem. I work from home and I can't do my job without signal. Thank you."
T10196,2026-03-24,chat,device,The Nimbus X2 on my bill has a broken screen and I need a repair. I bought it on the Flex 10 plan.
T10197,2026-02-11,chat,network,"Hi, my account says 5G but my Corvid 5 never shows more than one bar in Brackenridge. I tried another SIM and it's the same. I tried another SIM and it's the same."
T10198,2026-05-06,email,billing,"Hi, the price of Unlimited Plus went up without any notice. I have been a customer for 7 years and this has never happened. Please refund the difference. Thanks."
T10199,2026-02-06,chat,device,"Hi there, the eSIM will not activate on my Corvid 5 Pro. I've only had it 2 days. Thanks, Asha"
T10200,2026-07-15,chat,billing,"Hi there, I paid my bill on Wednesday but the app still says it is overdue. My account number is on the bill."
T10201,2026-04-26,chat,account,"Hi, my number was moved to another SIM without my permission and now I have no signal. Nobody has replied to my last message. Thank you."
T10202,2026-03-27,sms,device,"good morning, the touchscreen on my aster fold stopped responding last sunday it was fine until yesterday thx"
T10203,2026-02-04,chat,device,"Hi there, my Corvid 5 gets very hot and shuts down. I want to return it. I bought it on the Prepay Go plan. This is really not good enough."
T10204,2026-01-09,email,device,"My new Corvid 5 won't turn on after the update. Can someone look at my invoice? The courier said it was delivered but it wasn't. Thanks, Wynn"
T10205,2026-03-18,email,account,"Hi there, I want to upgrade from Family Share to Prepay Go. I have tried a factory reset and it didn't help."
T10206,2026-08-19,email,billing,My new Corvid 5 Pro won't turn on after the update. I have my ID ready if you need it.
T10207,2026-04-25,email,device,"Hello Kittiwake, I can't log in to anything on my Nimbus Mini since the update, the screen freezes. The courier said it was delivered but it wasn't. Thanks."
T10208,2026-06-10,chat,billing,"You took $57.00 from my card twice this month. It's not the phone, it happens on every handset. Thanks."
T10209,2026-08-04,chat,account,"Hi, my bill is going to an old address, please update it to Lowmere. Other networks work fine in the same spot. Thank you."
T10210,2026-05-20,sms,billing,"my bill for 21 march is $119.99, which is double what i normally pay pls refund the difference thx, callum"
T10211,2026-04-14,email,account,"My bill is going to an old address, please update it to Saltmoor. Thanks, Fen"
T10212,2026-01-13,email,account,"Hi, someone has changed my account details without my permission. I'm not paying for a service that doesn't work. I don't want to lose my number. This is really not good enough."
T10213,2026-01-07,email,billing,"Hi, I was charged $122.50 for a Corvid 5 Pro I returned yesterday. I work from home and I can't do my job without signal. The charge is not on my contract."
T10214,2026-06-22,email,billing,"Hi, I was charged $76.25 on my bill but my Flex 10 plan is only $92.00 a month. The charge is not on my contract. Please help."
T10215,2026-07-12,sms,device,"since i got the nimbus x2 there is no data in port ember, and my other phone is the same my neighbours on kittiwake mobile have the same problem"
T10216,2026-06-11,chat,device,"To whom it may concern, my Nimbus X2 gets very hot and shuts down. I work from home and I can't do my job without signal. Thanks."
T10217,2026-04-25,chat,account,"To whom it may concern, I want to upgrade from Family Share to Flex 10. My account number is on the bill. Regards, Hedda."
T10218,2026-06-06,chat,billing,"Hello, I was charged for a replacement Corvid 5 Pro that is still under warranty. Nobody has replied to my last message. Thank you."
T10219,2026-08-23,email,billing,"Hello Kittiwake, I was charged $86.75 for a Nimbus X2 I returned last Friday. I tried another SIM and it's the same."
T10220,2026-02-03,chat,device,"My Nimbus X2 battery drains from full to empty in 2 hours. I don't want to lose my number. It is still under warranty. Thanks, Joss"
T10221,2026-01-27,sms,device,"the new nimbus mini drops every call, the old one never did in cragwell i dont want to lose my number thx, fen"
T10222,2026-02-15,sms,network,"hello kittiwake, since i got the nimbus mini there is no data in brackenridge, and my other phone is the same my neighbours on kittiwake mobile have the same problem this is really not good enough"
T10223,2026-02-25,sms,network,"data speeds in marrowby r so slow that pages wont load other networks work fine in the same spot thx, hedda"
