ticket_id,received,channel,text
T10640,2026-08-12,email,"Hi there, order KW-55985 for a Aster Fold still hasn't been delivered. Thank you."
T10641,2026-06-03,chat,"The touchscreen on my Aster Fold stopped responding on Wednesday. I have tried a factory reset and it didn't help. Regards, Hedda."
T10642,2026-08-12,email,I cancelled the add-on last Thursday and I'm still being billed for it. The charge is not on my contract.
T10643,2026-04-02,sms,"to whom it may concern, the 5g signal disappears every evening in brackenridge i have been a customer for 9 years and this has never happened"
T10644,2026-06-03,email,"Good morning, calls drop as soon as I get on the train to Tern Harbour."
T10645,2026-07-11,email,"My bill for 13 April is $19.50, which is double what I normally pay. I have been a customer for 4 years and this has never happened. Thank you."
T10646,2026-06-12,email,"To whom it may concern, I can't log in to my account, the password reset email never arrives."
T10647,2026-02-17,chat,"To whom it may concern, I was charged $109.50 after someone else took over my account. It's not letting me change anything in the app. Please confirm by email."
T10648,2026-07-05,chat,"Hello Kittiwake, my Nimbus Mini gets very hot and shuts down. It's not letting me change anything in the app. I've only had it 13 days. This is really not good enough."
T10649,2026-03-22,email,"Hi there, calls drop as soon as I get on the train to Gullhaven. It's not letting me change anything in the app. It's not the phone, it happens on every handset. Thanks."
T10650,2026-03-10,email,"Hi there, mobile data is not working anywhere in Gullhaven. I've only had it 12 days. Thanks, Joss"
T10651,2026-01-11,chat,"Hi, my Aster Fold battery drains from full to empty in 8 hours. I tried another SIM and it's the same. I can't use the phone at all. This is really not good enough."
T10652,2026-06-20,sms,"hello, i want to move my corvid 5 contract to my daughter's account it's not the phone, it happens on every handset thx"
T10653,2026-03-26,email,"My Nimbus X2 shows no service but my partner's phone works fine on the same network. Thanks, Ines"
T10654,2026-05-03,chat,"Hi there, wi-Fi calling stopped working after my account was upgraded. Thanks, Joss"
T10655,2026-07-22,email,"Hi there, please change the name on my account to Tobias. Thank you."
T10656,2026-08-21,sms,"hi there, there is a charge of $91.99 i dont recognise on my last invoice it's not letting me change anything in the app thx"
T10657,2026-04-18,email,"To whom it may concern, I want to cancel my contract and close my account. I checked my bank statement and the money has gone. I don't want to lose my number. Thank you."
T10658,2026-05-03,sms,"i cant log in to anything on my aster fold since the update, the screen freezes it is still under warranty i cant use the phone at all"
T10659,2026-03-28,email,"Hi, my account is locked after too many login attempts. I don't want to lose my number. This is really not good enough."
T10660,2026-07-01,chat,"Hello, the camera on my Nimbus Mini stopped working after the update. Thanks."
T10661,2026-06-24,email,"Hello Kittiwake, my account says 5G but my Corvid 5 never shows more than one bar in Gullhaven. It is still under warranty. I have restarted the phone and it's still not working."
T10662,2026-01-21,email,"Hi, why was I charged roaming fees when I never left Marrowby? It was fine until yesterday. I checked my bank statement and the money has gone. Regards, Lise."
T10663,2026-04-14,email,Can you explain the $120.00 data overage charge on my account? It is still under warranty.
T10664,2026-05-13,chat,"Hello, my bill shows calls I never made, I think someone else used my number. The courier said it was delivered but it wasn't. I can't afford to pay $60.25 this month."
T10665,2026-02-26,email,"Coverage inside my house in Saltmoor is zero bars. Thanks, Tobias"
T10666,2026-02-27,email,The Corvid 5 Pro on my bill has a broken screen and I need a repair. I have tried a factory reset and it didn't help. This is really not good enough.
T10667,2026-08-01,chat,"Good morning, I need to update my address, I have moved to Wrenfield. I have restarted the phone and it's still not working. Thanks, Mara"
T10668,2026-03-07,sms,"hello kittiwake, my new corvid 5 pro wont turn on after the update can someone look at my invoice? thx"
T10669,2026-02-25,chat,The Corvid 5 Pro on my bill has a broken screen and I need a repair. I need a replacement as soon as possible. This is really not good enough.
T10670,2026-07-13,chat,"To whom it may concern, my calls keep dropping in Brackenridge, sometimes 6 times an hour. I want to return it."
T10671,2026-03-27,chat,"Hi, I want to transfer my number to a new account. I don't know who did it. Regards, Bram."
T10672,2026-03-11,chat,"Hello, I was billed for Unlimited Plus but I switched to Family Share on 16 February. My account number is on the bill."
T10673,2026-08-25,email,I paid my bill on Thursday but the app still says it is overdue. I can't afford to pay $110.00 this month. I can't afford to pay $109.75 this month. Thank you.
T10674,2026-04-10,email,"Hello Kittiwake, wi-Fi calling stopped working after my account was upgraded. I work from home and I can't do my job without signal. I have restarted the phone and it's still not working."
T10675,2026-08-23,chat,"The new Nimbus Mini drops every call, the old one never did in Port Ember. The courier said it was delivered but it wasn't. Regards, Teodor."
T10676,2026-06-09,sms,"hi, coverage inside my house in tern harbour is zero bars thx, tobias"
T10677,2026-02-25,chat,"Since I got the Nimbus X2 there is no data in Marrowby, and my other phone is the same. I have been a customer for 7 years and this has never happened. Thank you."
T10678,2026-06-15,sms,order kw-16707 for a corvid 5 pro still hasn't been delivered i checked my bank statement and the money has gone thank you
T10679,2026-04-22,chat,"Hello Kittiwake, the new Corvid 5 drops every call, the old one never did in Wrenfield. I have tried a factory reset and it didn't help."
T10680,2026-05-16,sms,i was charged $111.00 after someone else took over my account
T10681,2026-02-28,chat,I have had no signal at all in Port Ember since this morning. It was fine until two days ago.
T10682,2026-04-09,sms,"hello kittiwake, the mast near tern harbour must be down, calls fail every time i have tried a factory reset and it didn't help thank you"
T10683,2026-05-15,email,"Hi there, the mast near Port Ember must be down, calls fail every time. I can't use the phone at all."
T10684,2026-05-15,sms,"hello, there is a charge of $114.99 i dont recognise on my last invoice the charge is not on my contract"
T10685,2026-03-14,sms,"good morning, i'm on flex 30 and paying $10.99 a month but i cant get signal in tern harbour thank you"
T10686,2026-08-06,chat,"Hi, my bill shows calls I never made, I think someone else used my number. I have tried 3 times."
T10687,2026-02-03,chat,"The Nimbus X2 I ordered (KW-59972) arrived with a cracked screen. I bought it on the Unlimited Plus plan. Regards, Hedda."
T10688,2026-04-27,email,"To whom it may concern, wi-Fi calling stopped working after my account was upgraded. I want to return it. I work from home and I can't do my job without signal. Please help."
T10689,2026-08-03,email,"Good morning, the new Aster Fold drops every call, the old one never did in Gullhaven. Other networks work fine in the same spot."
T10690,2026-04-13,chat,"To whom it may concern, my bill shows calls I never made, I think someone else used my number. The courier said it was delivered but it wasn't."
T10691,2026-06-19,sms,"to whom it may concern, my nimbus x2 battery drains from full to empty in 3 hours i cant use the phone at all thank you"
T10692,2026-08-11,sms,"hello, data speeds in lowmere r so slow that pages wont load i tried another sim and it's the same regards, declan"
T10693,2026-04-15,email,"To whom it may concern, the mast near Port Ember must be down, calls fail every time. It's not the phone, it happens on every handset. This is really not good enough."
T10694,2026-08-05,sms,"i want to upgrade from family share to unlimited plus regards, tobias"
T10695,2026-06-08,email,"Hi, calls drop as soon as I get on the train to Eastholm Quay. I can't afford to pay $85.99 this month. Thank you."
T10696,2026-07-27,email,I want to move my Aster Fold contract to my daughter's account. Please confirm by email.
T10697,2026-08-24,chat,"To whom it may concern, voicemail isn't working and missed calls don't show up. Thanks."
T10698,2026-07-11,sms,the camera on my corvid 5 stopped working after the update it is still under warranty i have tried a factory reset and it didn't help pls help
T10699,2026-03-04,chat,"My Nimbus X2 keeps restarting by itself. I have tried a factory reset and it didn't help. Thanks, Mara"
T10700,2026-03-08,chat,"Hello Kittiwake, calls drop as soon as I get on the train to Marrowby. I've only had it 8 days. Regards, Teodor."
T10701,2026-05-02,chat,The replacement Nimbus Mini you sent does not charge. I bought it on the Prepay Go plan. This is really not good enough.
T10702,2026-02-09,chat,"Good morning, the eSIM add-on is on my bill as $125.75 and I never asked for it. It is still under warranty."
T10703,2026-07-19,chat,"To whom it may concern, my number was moved to another SIM without my permission and now I have no signal. It's not letting me change anything in the app. I have my ID ready if you need it."
T10704,2026-08-06,email,"Hello Kittiwake, wi-Fi calling stopped working after my account was upgraded. I can't use the phone at all. Thanks, Tobias"
T10705,2026-08-17,chat,"Hello, the camera on my Corvid 5 stopped working after the update. It is still under warranty."
T10706,2026-03-25,sms,"to whom it may concern, my bill shows calls i never made, i think someone else used my number"
T10707,2026-03-18,chat,"Hi, I paid my bill 26 February but the app still says it is overdue. Please refund the difference. Thanks, Wynn"
T10708,2026-01-26,email,"Good morning, the SIM card you posted doesn't fit my Corvid 5 Pro. Thanks, Rafi"
T10709,2026-02-05,email,"Hi, I want to move my Nimbus X2 contract to my daughter's account. I shouldn't have to pay for something I didn't use. Thanks."
T10710,2026-04-02,email,"Hello Kittiwake, my Nimbus X2 battery drains from full to empty in 2 hours. Thanks."
T10711,2026-01-02,chat,Can you explain the $40.00 data overage charge on my account? I have restarted the phone and it's still not working. This is really not good enough.
T10712,2026-08-23,chat,"Hi there, my bill for 22 June is $38.25, which is double what I normally pay. I bought it on the Flex 30 plan. Please help."
T10713,2026-04-09,email,"Hi, the 5G signal disappears every evening in Cragwell. Please refund the difference. I have restarted the phone and it's still not working. This is really not good enough."
T10714,2026-01-11,chat,Please remove Oona as an authorised user on my account. It was fine until two days ago. I have tried 5 times. Thank you.
T10715,2026-05-01,chat,I was billed for Unlimited Plus but I switched to Flex 30 on 16 May. Can someone look at my invoice? I have been a customer for 6 years and this has never happened. This is really not good enough.
T10716,2026-08-24,email,"Hello Kittiwake, the touchscreen on my Nimbus X2 stopped responding yesterday. It is still under warranty. I need a replacement as soon as possible. Please help."
T10717,2026-03-03,email,"Hi, coverage inside my house in Cragwell is zero bars. Please refund the difference."
T10718,2026-06-22,email,Coverage inside my house in Lowmere is zero bars. This is really not good enough.
T10719,2026-04-02,email,"My bill is going to an old address, please update it to Eastholm Quay. I have my ID ready if you need it."
T10720,2026-03-23,sms,"hi there, i'm on unlimited plus and paying $47.00 a month but i cant get signal in wrenfield i cant use the phone at all regards, rafi"
T10721,2026-01-13,chat,"To whom it may concern, my texts are not being delivered to anyone since on Monday. Other networks work fine in the same spot. Please help."
T10722,2026-07-23,email,"Hi there, my bill is going to an old address, please update it to Eastholm Quay. Nobody has replied to my last message. Please help."
T10723,2026-01-02,email,"Hello Kittiwake, please change the name on my account to Joss. I checked my bank statement and the money has gone. I have tried 9 times. Thank you."
T10724,2026-03-09,email,"Hello, my calls keep dropping in Tern Harbour, sometimes 2 times an hour. I have restarted the phone and it's still not working. I have restarted the phone and it's still not working. Regards, Callum."
T10725,2026-05-03,email,"Good morning, I can't log in to anything on my Aster Fold since the update, the screen freezes. It's not the phone, it happens on every handset. Please help."
T10726,2026-07-21,chat,"Hi there, I can't make calls or send texts, it just says no service. It was fine until 5 March. It's not the phone, it happens on every handset. Thank you."
T10727,2026-01-27,email,Why was I charged roaming fees when I never left Tern Harbour? I can't afford to pay $125.75 this month. Thank you.
T10728,2026-01-19,chat,"Hi there, I was charged for a replacement Aster Fold that is still under warranty. I can't afford to pay $28.99 this month. Thank you."
T10729,2026-01-20,chat,"To whom it may concern, I paid my bill 24 September but the app still says it is overdue. I've only had it 4 days. Thanks, Declan"
T10730,2026-03-28,sms,"hi there, i want to move my nimbus x2 contract to my daughter's account i dont want to lose my number pls help"
T10731,2026-03-14,chat,"My bill shows calls I never made, I think someone else used my number. I have tried 6 times. Thanks, Mara"
T10732,2026-03-23,email,"Hi, I cancelled the add-on yesterday and I'm still being billed for it. I need a replacement as soon as possible. The charge is not on my contract. This is really not good enough."
T10733,2026-05-10,email,"To whom it may concern, my texts are not being delivered to anyone since last Sunday. I don't want to lose my number. Please help."
T10734,2026-04-10,chat,"Hello, wi-Fi calling stopped working after my account was upgraded. I need a replacement as soon as possible. Thanks, Joss"
T10735,2026-06-06,email,"Hi there, I dropped my Nimbus X2 and need to claim on the insurance. I want to return it. Thanks."
T10736,2026-05-02,email,"Hello Kittiwake, my texts are not being delivered to anyone since last Sunday. I work from home and I can't do my job without signal. Thanks."
T10737,2026-05-02,email,"Hi there, I was charged $21.99 after someone else took over my account. I bought it on the Prepay Go plan."
T10738,2026-04-24,email,"My bill for 2 July is $98.25, which is double what I normally pay. Thank you."
T10739,2026-05-01,chat,The Corvid 5 Pro on my bill has a broken screen and I need a repair. It is still under warranty. I can't use the phone at all. This is really not good enough.
T10740,2026-05-06,email,"Hi, my bill is going to an old address, please update it to Wrenfield. I have tried 3 times. Please help."
T10741,2026-07-02,sms,"hi there, i cant log in to my account, the password reset email never arrives nobody has replied to my last message thx, oona"
T10742,2026-04-27,email,"Please change the name on my account to Fen. I have my ID ready if you need it. Thanks, Lise"
T10743,2026-04-05,sms,my new aster fold wont turn on after the update thx
T10744,2026-01-09,email,"Hello, the SIM card you posted doesn't fit my Nimbus Mini. I have restarted the phone and it's still not working."
T10745,2026-05-25,chat,"I can't log in to my account, the password reset email never arrives."
T10746,2026-02-25,email,"Hi there, my account says 5G but my Aster Fold never shows more than one bar in Marrowby. My neighbours on Kittiwake Mobile have the same problem. I have restarted the phone and it's still not working. Regards, Joss."
T10747,2026-02-06,chat,"Hi, I was charged for a replacement Aster Fold that is still under warranty. I checked my bank statement and the money has gone. Regards, Rafi."
T10748,2026-07-23,email,The eSIM add-on is on my bill as $133.00 and I never asked for it. It was fine until last Saturday. Thanks.
T10749,2026-06-10,email,"Hello, the replacement Corvid 5 you sent does not charge. I've only had it 5 days."
T10750,2026-06-28,chat,"To whom it may concern, I was charged $21.50 after someone else took over my account."
T10751,2026-07-26,chat,"You took $62.50 from my card twice this month. This is urgent, I can't access anything. This is really not good enough."
T10752,2026-06-16,chat,"The new Nimbus X2 drops every call, the old one never did in Brackenridge. The charge is not on my contract. I can't use the phone at all."
T10753,2026-03-05,email,"The mast near Wrenfield must be down, calls fail every time. I have tried a factory reset and it didn't help. Please help."
T10754,2026-05-27,chat,My Nimbus X2 shows no service but my partner's phone works fine on the same network. My neighbours on Kittiwake Mobile have the same problem.
T10755,2026-01-16,chat,Coverage inside my house in Tern Harbour is zero bars. I tried another SIM and it's the same. Other networks work fine in the same spot.
T10756,2026-05-16,email,My Corvid 5 battery drains from full to empty in 5 hours. I bought it on the Flex 10 plan. Thanks.
T10757,2026-07-16,chat,"Hello, my Nimbus X2 gets very hot and shuts down. I shouldn't have to pay for something I didn't use. Thanks, Mara"
T10758,2026-04-14,email,"Hello, I paid my bill 1 April but the app still says it is overdue. Can someone look at my invoice? Can someone look at my invoice?"
T10759,2026-04-08,email,"Hi, the price of Flex 10 went up without any notice. The charge is not on my contract. Thank you."
T10760,2026-02-25,email,"Hello Kittiwake, the eSIM will not activate on my Nimbus X2. The courier said it was delivered but it wasn't."
T10761,2026-02-10,chat,Why was I charged roaming fees when I never left Brackenridge? Nobody has replied to my last message. Thanks.
T10762,2026-06-04,email,"To whom it may concern, I want to upgrade from Flex 10 to Prepay Go. Please refund the difference. Nobody has replied to my last message. Thanks, Wynn"
T10763,2026-08-26,email,"Hello Kittiwake, my Corvid 5 gets very hot and shuts down. I want to return it. Regards, Wynn."
T10764,2026-08-03,chat,"To whom it may concern, the Aster Fold I ordered (KW-47633) arrived with a cracked screen. I can't use the phone at all."
T10765,2026-08-12,email,"Hi, my bill shows calls I never made, I think someone else used my number. I have tried 4 times. Thanks, Rafi"
T10766,2026-02-04,email,"Good morning, I was charged $42.50 after someone else took over my account. I bought it on the Flex 10 plan. Regards, Mara."
T10767,2026-02-01,email,"My direct debit failed and now there is a late payment fee of $76.00. I don't know who did it. Thanks, Ines"
T10768,2026-04-05,sms,"hello, the 5g signal disappears every evening in eastholm quay i dont know who did it"
T10769,2026-02-17,chat,My number was moved to another SIM without my permission and now I have no signal. I have tried 7 times.
T10770,2026-06-16,email,"Good morning, I was charged for a replacement Corvid 5 that is still under warranty. It's not letting me change anything in the app."
T10771,2026-03-01,chat,"Hi there, the eSIM add-on is on my bill as $126.99 and I never asked for it. I don't know who did it."
T10772,2026-03-16,chat,"Hi, I was charged $91.75 on my bill but my Family Share plan is only $140.50 a month. I have my ID ready if you need it. Regards, Callum."
T10773,2026-05-10,sms,"hello kittiwake, i was charged for a replacement corvid 5 that is still under warranty i have been a customer for 4 years and this has never happened regards, oona"
T10774,2026-08-17,chat,"Good morning, I was promised a refund of $114.75 and it has not arrived. I work from home and I can't do my job without signal. Thanks, Asha"
T10775,2026-04-13,chat,"Good morning, I was charged for a replacement Corvid 5 Pro that is still under warranty. It's not letting me change anything in the app. Thank you."
T10776,2026-02-14,email,"Please change the name on my account to Declan. Thanks, Teodor"
T10777,2026-08-20,chat,I'm on Family Share and paying $73.00 a month but I can't get signal in Brackenridge.
T10778,2026-02-11,chat,"Hi, since I got the Corvid 5 Pro there is no data in Saltmoor, and my other phone is the same. I have been a customer for 3 years and this has never happened. Thanks, Fen"
T10779,2026-08-04,chat,"I was charged $112.99 after someone else took over my account. I bought it on the Unlimited Plus plan. I don't want to lose my number. Thanks, Bram"
T10780,2026-03-14,email,My number was moved to another SIM without my permission and now I have no signal. I checked my bank statement and the money has gone. Thanks.
T10781,2026-08-26,email,"Good morning, my direct debit failed and now there is a late payment fee of $92.99. I checked my bank statement and the money has gone. I checked my bank statement and the money has gone. Regards, Oona."
T10782,2026-04-17,chat,"Hi, the SIM card you posted doesn't fit my Corvid 5. Thanks."
T10783,2026-08-20,sms,"the esim will not activate on my corvid 5 pro it is still under warranty regards, hedda"
T10784,2026-03-08,sms,"hi, the esim will not activate on my nimbus x2 other networks work fine in the same spot regards, asha"
T10785,2026-03-12,email,"Good morning, the replacement Nimbus Mini you sent does not charge. I've only had it 6 days."
T10786,2026-06-25,sms,i'm on unlimited plus and paying $71.99 a month but i cant get signal in eastholm quay pls refund the difference pls help
T10787,2026-08-19,chat,Voicemail isn't working and missed calls don't show up. My neighbours on Kittiwake Mobile have the same problem.
T10788,2026-04-11,chat,"To whom it may concern, I was billed for Flex 30 but I switched to Flex 30 on 1 May. The charge is not on my contract. This is really not good enough."
T10789,2026-01-16,email,My Corvid 5 keeps restarting by itself. I have my ID ready if you need it.
T10790,2026-03-28,email,"To whom it may concern, I was billed for Unlimited Plus but I switched to Family Share on 20 February. I have tried 8 times. This is really not good enough."
T10791,2026-04-03,chat,"Good morning, please change the name on my account to Wynn. It was fine until two days ago. Thanks."
T10792,2026-03-07,sms,"i cant log in to anything on my nimbus x2 since the update, the screen freezes i have restarted the phone and it's still not working thx"
T10793,2026-07-27,email,"You took $111.25 from my card twice this month. My account number is on the bill. Regards, Callum."
T10794,2026-03-17,email,"I paid my bill this morning but the app still says it is overdue. Please confirm by email. Thanks, Priya"
T10795,2026-07-23,chat,"Calls drop as soon as I get on the train to Eastholm Quay. I work from home and I can't do my job without signal. Other networks work fine in the same spot. Regards, Callum."
T10796,2026-05-24,chat,"Hello Kittiwake, I was charged $25.99 on my bill but my Prepay Go plan is only $83.99 a month. I can't afford to pay $74.75 this month. Regards, Mara."
T10797,2026-04-10,sms,"hi there, is there an outage in port ember? nobody on our street has signal other networks work fine in the same spot thank you"
T10798,2026-06-01,sms,"hello, the new aster fold drops every call, the old one never did in marrowby i tried another sim and it's the same"
T10799,2026-02-05,chat,"Hello Kittiwake, I'm on Family Share and paying $96.00 a month but I can't get signal in Eastholm Quay. I tried another SIM and it's the same. Thanks, Hedda"
T10800,2026-08-19,sms,"hello, my corvid 5 pro keeps restarting by itself my account number is on the bill i bought it on the unlimited plus plan"
